model,cv_rmse_mean,cv_rmse_std,test_mae,test_rmse,test_r2
Gradient Boosting,0.7802233873521521,0.10363718922746995,0.17485483422215606,0.5672334045878067,0.9886621190896523
Random Forest,0.8758011336446844,0.15592644801544606,0.13696845472060604,0.6077550237887023,0.9869843635782201
Decision Tree,1.2405312574172505,0.22185882899155876,0.2755365617388759,1.0243006682581406,0.9630288290545592
Lasso Regression,3.6954998517767734,0.3227222232297261,2.0232959785193265,3.8916426253308067,0.4663282711135076
ElasticNet,3.6954637107297437,0.32267843295722953,2.0234345845182964,3.8919341462599686,0.4662483139744136
Ridge Regression,3.6954957226483858,0.32263214224447895,2.024198772110273,3.8925432131684543,0.46608124232594705
Linear Regression,3.695529355886669,0.32261448439921586,2.024338538761279,3.892631266265204,0.4660570865341198
